AAPL,MSFT,IBM,WAB,AMZN,V,UNH,NVDA,AMD,JPM,COP,MS,KO,META,NFLX,NKE,Date
234.5280303955078,395.5125427246094,244.04139709472656,176.92617797851562,200.6999969482422,342.3078308105469,479.1981201171875,110.5459213256836,98.8499984741211,242.6760711669922,86.33245086669922,116.89120483398438,68.9214859008789,626.4666137695312,90.63600158691406,76.79786682128906,2025-03-06
238.2552947998047,391.9449462890625,256.6512145996094,178.61981201171875,199.25,343.46160888671875,484.8575134277344,112.66545867919922,100.30999755859375,238.48284912109375,88.31050109863281,116.81285858154297,69.87030029296875,624.201904296875,89.11100006103516,77.66754150390625,2025-03-07
226.70477294921875,378.840576171875,252.09791564941406,174.843994140625,194.5399932861328,339.6423034667969,473.8455810546875,106.95669555664062,96.62999725341797,228.58053588867188,90.52240753173828,109.37068176269531,69.8898696899414,596.596435546875,86.66799926757812,75.50325012207031,2025-03-10
220.08740234375,379.1296081542969,244.29652404785156,175.26243591308594,196.58999633789062,330.3525390625,479.5883483886719,108.73631286621094,96.76000213623047,225.54879760742188,92.96817016601562,109.71341705322266,69.48882293701172,604.2985229492188,89.51000213623047,73.2994155883789,2025-03-11
216.2405548095703,381.9397888183594,244.9638214111328,175.3421173095703,198.88999938964844,331.0487365722656,474.7237854003906,115.7254409790039,100.79000091552734,224.32821655273438,95.24827575683594,111.63270568847656,68.41284942626953,618.1162109375,91.96800231933594,72.71634674072266,2025-03-12
208.96542358398438,377.45538330078125,241.20541381835938,175.59120178222656,193.88999938964844,326.7818298339844,475.1283264160156,115.56546020507812,98.11000061035156,221.6606903076172,93.72820281982422,109.36089324951172,68.09982299804688,589.2636108398438,89.01699829101562,71.7873764038086,2025-03-13
212.762451171875,387.21142578125,243.70774841308594,178.02206420898438,197.9499969482422,330.0143737792969,482.1636657714844,121.65469360351562,100.97000122070312,228.7970733642578,96.41755676269531,112.94487762451172,68.14910125732422,606.7233276367188,91.80000305175781,70.81888580322266,2025-03-14
213.27072143554688,387.3509521484375,248.24139404296875,181.19017028808594,195.74000549316406,332.7495422363281,492.3960266113281,119.51496124267578,104.58999633789062,230.26370239257812,96.81707000732422,115.51048278808594,69.0950698852539,604.0272827148438,95.00199890136719,72.8349380493164,2025-03-17
211.96519470214844,382.1889343261719,242.3339080810547,181.07061767578125,192.82000732421875,332.9683837890625,497.1125793457031,115.41547393798828,103.51000213623047,231.28741455078125,97.95712280273438,115.65736389160156,68.36588287353516,581.5197143554688,92.99800109863281,72.44951629638672,2025-03-18
214.50648498535156,386.4739990234375,247.5740966796875,184.90625,195.5399932861328,338.0409240722656,496.52056884765625,117.50520324707031,106.2300033569336,235.36253356933594,98.73666381835938,117.36123657226562,68.26734161376953,583.2173461914062,95.9489974975586,72.13327026367188,2025-03-19
213.37039184570312,385.4974060058594,238.7717742919922,184.7169647216797,194.9499969482422,337.6729431152344,504.5130310058594,118.51508331298828,107.13999938964844,235.2640838623047,99.69157409667969,117.9683609008789,68.69105529785156,585.1544799804688,95.08399963378906,71.01653289794922,2025-03-20
217.52618408203125,389.9020690917969,239.3114776611328,184.0893096923828,196.2100067138672,333.8536071777344,509.98931884765625,117.68518829345703,106.44000244140625,237.84303283691406,99.31155395507812,117.64520263671875,67.666259765625,595.3897094726562,96.02899932861328,67.14254760742188,2025-03-21
219.977783203125,391.7157287597656,243.8058624267578,188.15406799316406,203.25999450683594,342.0193786621094,509.6440124511719,121.39472961425781,113.8499984741211,244.17227172851562,99.57464599609375,121.68944549560547,67.94216918945312,617.9570922851562,97.1989974975586,66.5989990234375,2025-03-24
222.9875030517578,393.7885437011719,245.228759765625,188.8913116455078,205.7100067138672,342.765380859375,506.6147766113281,120.67481994628906,114.80999755859375,247.1941680908203,99.92543029785156,122.60012817382812,67.80420684814453,625.4063720703125,99.72799682617188,65.75897979736328,2025-03-25
220.77505493164062,388.6165466308594,245.66055297851562,186.98843383789062,201.1300048828125,342.32769775390625,511.3214416503906,113.74568939208984,110.19000244140625,247.09571838378906,100.55879211425781,119.66242980957031,68.99652099609375,610.0984497070312,97.06500244140625,64.96836853027344,2025-03-26
